Caso,Tamanho,Tempo Médio,Desvio Padrão,Linguagem
Caso medio,1000,0.002067232131957993,0.00025818056884542324,Python
Caso medio,10000,0.07461636861165359,0.00105590828920761,Python
Caso medio,100000,8.571060880025227,0.0892334164210361,Python
Melhor,1000,0.00193368593851724,0.0002582508572181554,Python
Melhor,10000,0.07134943008422849,0.0007237650633841871,Python
Melhor,100000,8.654546165466309,0.1723965388048887,Python
Pior,1000,0.0019336382548014134,0.00045807187551152233,Python
Pior,10000,0.07161601384480791,0.0009104851449216188,Python
Pior,100000,9.067608181635539,0.4544094730138602,Python
