Caso,Tamanho,Tempo Médio,Desvio Padrão,Linguagem
Caso medio,1000,7.563333333333333e-05,1.7670260191578823e-06,C
Caso medio,10000,0.0008958933333333333,4.83033075866396e-06,C
Caso medio,100000,0.10702110666666667,0.0005431336226889617,C
Melhor,1000,4.170666666666667e-05,4.350150517374022e-07,C
Melhor,10000,0.0005199866666666667,3.475822341889891e-05,C
Melhor,100000,0.10341727333333334,0.0008305659408471072,C
Pior,1000,4.164666666666666e-05,1.2755204353331146e-06,C
Pior,10000,0.0005038733333333333,4.484651072056266e-06,C
Pior,100000,0.10264164,0.0008909880396824326,C
