Caso,Tamanho,Tempo Médio,Desvio Padrão,Linguagem
Caso medio,100,0.00011418771743774173,0.0010707908366947242,Python
Caso medio,1000,0.0020606284141540315,0.0033460112212540336,Python
Caso medio,10000,0.0751077008247375,0.00871346283152962,Python
Melhor,100,9.692502021788848e-05,0.0002752628050444379,Python
Melhor,1000,0.001870595693588238,0.0034043670458614905,Python
Melhor,10000,0.07210443258285518,0.008424395176542863,Python
Pior,100,9.879779815673157e-05,0.000273874494521201,Python
Pior,1000,0.0018843266963958455,0.0026426138335306918,Python
Pior,10000,0.07135590004920955,0.00785927779443696,Python
